initial_mutation,diversity
0.0600,0.753469
0.0600,0.755707
0.0600,0.748489
0.0600,0.755889
0.0600,0.738851
0.0600,0.752907
0.0600,0.755549
0.0600,0.754792
0.0600,0.756731
0.0600,0.754214
0.0600,0.753685
0.0600,0.751366
0.0600,0.755889
0.0700,0.754994
0.0700,0.751170
0.0700,0.752933
0.0700,0.745626
0.0700,0.752004
0.0700,0.754994
0.0700,0.755222
0.0700,0.754121
0.0700,0.753921
0.0700,0.747644
0.0700,0.754727
0.0700,0.744168
0.0700,0.711568
0.0700,0.749307
0.0700,0.747152
0.0700,0.734044
0.0700,0.753156
0.0700,0.750911
0.0700,0.749257
0.0700,0.740834
0.0700,0.752828
0.0700,0.748034
0.0700,0.744170
0.0700,0.748796
0.0700,0.753337
0.0700,0.745242
0.0700,0.752808
0.0700,0.748424
0.0700,0.743077
0.0700,0.748768
0.0700,0.750416
0.0700,0.750212
0.0700,0.754202
0.0700,0.753168
0.0700,0.756780
0.0700,0.756804
0.0700,0.751204
0.0700,0.754701
0.0700,0.753174
0.0700,0.744194
0.0700,0.752909
0.0700,0.751309
0.0700,0.739824
0.0700,0.750859
0.0700,0.748057
0.0700,0.750030
0.0700,0.751996
0.0700,0.749036
0.0700,0.742089
0.0700,0.738224
0.0700,0.756400
0.0700,0.756618
0.0700,0.755784
0.0700,0.754832
0.0700,0.756073
0.0700,0.748717
0.0700,0.739725
0.0700,0.748683
0.0700,0.752778
0.0700,0.736123
0.0700,0.753236
0.0700,0.746356
0.0700,0.749592
0.0700,0.752475
0.0700,0.756382
0.0700,0.749978
0.0700,0.753487
0.0700,0.740691
0.0700,0.744277
0.0700,0.752230
0.0700,0.755388
0.0700,0.753461
0.0700,0.742451
0.0700,0.752952
0.0700,0.752699
0.0700,0.754790
0.0700,0.747303
0.0700,0.751921
0.0700,0.746899
0.0700,0.747240
0.0700,0.743949
0.0700,0.750024
0.0700,0.752782
0.0700,0.747378
0.0700,0.745446
0.0700,0.743592
0.0700,0.752745
0.0700,0.756624
0.0700,0.751471
0.0700,0.741190
0.0700,0.751537
0.0700,0.751204
0.0700,0.751259
0.0700,0.747737
0.0700,0.747925
0.0700,0.749192
0.0700,0.754705
0.0700,0.755432
0.0700,0.752711
0.0700,0.754323
0.0800,0.749048
0.0800,0.752465
0.0800,0.756418
0.0800,0.753885
0.0800,0.749418
0.0800,0.752246
0.0800,0.751200
0.0800,0.756246
0.0800,0.747277
0.0800,0.751475
0.0800,0.747420
0.0800,0.756576
0.0800,0.753230
0.0800,0.752479
0.0800,0.754337
0.0800,0.753810
