initial_similarity,diversity
0.6000,0.485762
0.6000,0.468394
0.6000,0.504091
0.6000,0.504998
0.6000,0.438372
0.6000,0.542352
0.6000,0.492259
0.6000,0.495549
0.6000,0.507289
0.6000,0.483547
0.6000,0.493624
0.6000,0.512853
0.6000,0.490337
0.6000,0.517501
0.6000,0.488194
0.6000,0.489848
0.6000,0.492531
0.6000,0.473774
0.6000,0.526949
0.6000,0.520299
0.6000,0.475105
0.6000,0.463366
0.6000,0.462190
0.6000,0.494927
0.6000,0.493301
0.6000,0.487424
0.6000,0.479521
0.6000,0.502455
0.6000,0.458455
0.6000,0.496747
0.6000,0.510404
0.6000,0.524418
0.6000,0.433683
0.6000,0.502317
0.6000,0.508873
0.6000,0.486141
0.6000,0.495990
0.6000,0.460063
0.6000,0.521188
0.6000,0.456493
0.6000,0.470329
0.6000,0.488836
0.6000,0.470560
0.6000,0.541560
0.6000,0.510925
0.6000,0.443869
0.6000,0.465687
0.6000,0.522184
0.6000,0.472182
0.6000,0.450428
0.6000,0.479731
0.6000,0.448768
0.6000,0.500913
0.6000,0.481137
0.6000,0.484539
0.6000,0.501630
0.6000,0.478099
0.6000,0.512440
0.6000,0.480725
0.6000,0.475834
0.6000,0.471640
0.6000,0.479685
0.6000,0.441044
0.6000,0.530877
0.6000,0.508531
0.6000,0.465832
0.6000,0.489527
0.6000,0.497457
0.6000,0.497568
0.6000,0.487780
0.7000,0.371547
0.7000,0.389992
0.7000,0.409653
0.7000,0.414265
0.7000,0.364374
0.7000,0.389754
0.7000,0.363444
0.7000,0.380091
0.7000,0.402335
0.7000,0.392974
0.7000,0.348366
0.7000,0.360614
0.7000,0.362121
0.7000,0.403067
0.7000,0.367517
0.7000,0.416626
0.7000,0.355255
0.7000,0.403222
0.7000,0.359178
0.7000,0.364939
0.7000,0.388721
0.7000,0.394507
0.7000,0.385952
0.7000,0.394802
0.7000,0.396358
0.7000,0.384883
0.7000,0.311939
0.7000,0.362582
0.7000,0.434448
0.7000,0.332925
0.7000,0.340051
0.7000,0.355644
0.7000,0.385721
0.7000,0.385212
0.7000,0.417095
0.7000,0.366907
0.7000,0.336451
0.7000,0.374893
0.7000,0.383519
0.7000,0.375275
0.7000,0.383519
0.7000,0.401220
0.7000,0.371707
0.7000,0.377529
0.7000,0.403828
0.7000,0.349246
0.7000,0.357562
0.7000,0.414131
0.7000,0.398075
0.7000,0.365360
0.7000,0.400038
0.7000,0.371216
0.7000,0.398238
0.7000,0.380321
0.7000,0.360735
0.7000,0.368194
0.7000,0.368974
0.7000,0.396756
0.7000,0.406580
0.7000,0.356669
0.7000,0.409210
0.7000,0.377259
0.7000,0.374230
0.7000,0.399376
0.7000,0.394612
0.7000,0.372077
0.7000,0.377610
0.7000,0.423552
0.7000,0.354626
0.7000,0.406335
0.7000,0.385517
0.7000,0.379394
0.7000,0.410410
0.7000,0.394048
0.7000,0.414964
0.7000,0.382392
0.7000,0.386949
0.7000,0.400735
0.7000,0.360451
0.7000,0.383059
0.7000,0.365644
0.7000,0.370737
0.7000,0.391802
0.7000,0.367564
0.7000,0.382400
0.7000,0.346192
0.7000,0.407160
0.7000,0.402701
0.7000,0.359166
0.7000,0.368422
0.7000,0.378602
0.7000,0.391788
0.7000,0.395097
0.7000,0.432154
0.7000,0.391889
0.7000,0.393582
0.7000,0.376236
0.7000,0.404913
0.7000,0.303897
0.7000,0.380299
0.8000,0.308358
0.8000,0.264040
0.8000,0.287311
0.8000,0.290238
0.8000,0.275564
0.8000,0.282238
0.8000,0.286123
0.8000,0.254909
0.8000,0.280865
0.8000,0.290370
0.8000,0.285149
0.8000,0.268560
0.8000,0.263311
0.8000,0.264986
0.8000,0.260701
0.8000,0.253246
0.8000,0.296139
0.8000,0.254018
0.8000,0.250754
0.8000,0.253770
0.8000,0.267832
0.8000,0.295909
0.8000,0.313978
0.8000,0.292495
0.8000,0.275762
0.8000,0.284632
0.8000,0.268958
0.8000,0.291642
0.8000,0.243646
0.8000,0.276329
0.8000,0.235982
0.8000,0.264434
0.8000,0.312780
0.8000,0.274063
0.8000,0.284895
0.8000,0.296024
0.8000,0.243214
0.8000,0.261358
0.8000,0.269883
0.8000,0.224166
0.8000,0.268016
0.8000,0.253626
0.8000,0.262568
0.8000,0.273475
0.8000,0.265133
0.8000,0.255527
0.8000,0.288836
0.8000,0.273638
0.8000,0.271075
0.8000,0.331186
0.8000,0.296828
0.8000,0.263897
0.8000,0.294978
0.8000,0.258485
0.8000,0.261681
0.8000,0.307786
0.8000,0.289091
0.8000,0.266768
0.8000,0.232612
0.8000,0.298368
0.8000,0.313376
0.8000,0.199644
0.8000,0.270152
0.8000,0.268935
0.8000,0.288341
0.8000,0.283208
0.8000,0.263709
0.8000,0.279695
0.8000,0.297160
0.8000,0.265463
0.8000,0.288093
0.8000,0.270315
0.8000,0.299311
0.8000,0.286495
0.8000,0.249242
0.8000,0.275608
0.8000,0.301574
0.8000,0.252857
0.8000,0.263782
0.8000,0.270295
0.8000,0.273552
0.8000,0.277416
0.8000,0.250796
0.8000,0.247444
0.8000,0.325838
0.8000,0.271527
0.8000,0.264438
0.8000,0.270020
0.8000,0.295321
0.8000,0.256515
0.8000,0.276760
0.8000,0.303986
0.8000,0.289204
0.8000,0.310129
