generation,avg_fitness_div,avg_hamming_div,avg_nntd_div,avg_maxfitness,COUNT(*)
1930,0.7287000000,0.4997996400,0.8466489600,4.2931599999999985,100
1929,0.7292000000,0.4997701200,0.8471767300,4.2931599999999985,100
1928,0.7283000000,0.4998141900,0.8482337400,4.2931599999999985,100
1927,0.7309000000,0.4998132600,0.8476575400,4.2931599999999985,100
1926,0.7322000000,0.4998150400,0.8491127900,4.2931599999999985,100
1925,0.7341000000,0.4998313700,0.8473297400,4.2931599999999985,100
1924,0.7321000000,0.4998545800,0.8477215200,4.2931599999999985,100
1923,0.7327000000,0.4998070700,0.8473321100,4.2931599999999985,100
1922,0.7302000000,0.4998331200,0.8484156100,4.2931599999999985,100
1921,0.7319000000,0.4998384700,0.8466417300,4.2931599999999985,100
1920,0.7329000000,0.4998687100,0.8472898900,4.2931599999999985,100
1919,0.7319000000,0.4998317300,0.8475799000,4.2931599999999985,100
1918,0.7316000000,0.4998315800,0.8498917300,4.2931599999999985,100
1917,0.7336000000,0.4998252600,0.8481791100,4.2931599999999985,100
1916,0.7306000000,0.4998357600,0.8489587500,4.2931599999999985,100
1915,0.7329000000,0.4997951100,0.8483609900,4.2931599999999985,100
1914,0.7342000000,0.4998435500,0.8482342700,4.2931599999999985,100
1913,0.7327000000,0.4998357900,0.8469400700,4.2931599999999985,100
1912,0.7320000000,0.4998337000,0.8476568200,4.2931599999999985,100
1911,0.7336000000,0.4998522600,0.8464047700,4.293139999999999,100
1910,0.7322000000,0.4998092900,0.8490437200,4.293139999999999,100
